Colors,Red
Colors,Blue
Colors,Green
Colors,Yellow
Colors,Cyan
Colors,Purple
Colors,Pink
Colors,Brown
Colors,Black
Colors,White
Numbers,Five
Numbers,Ten
Numbers,Twenty
Numbers,Hundred
Numbers,Thousand
Numbers,One
Numbers,Zero
Numbers,Nine
Numbers,Twelve
Numbers,Eleven
Animals,Lion
Animals,Elephant
Animals,Tiger
Animals,Giraffe
Animals,Kangaroo
Animals,Zebra
Animals,Panda
Animals,Dog
Animals,Cat
Animals,Donkey
Birds,Eagle
Birds,Parrot
Birds,Owl
Birds,Peacock
Birds,Sparrow
Birds,Crow
Birds,Falcon
Birds,Swan
Birds,Vulture
Birds,Seagull
Fruits,Apple
Fruits,Banana
Fruits,Orange
Fruits,Mango
Fruits,Pineapple
Fruits,Grapes
Fruits,Strawberry
Fruits,Blueberry
Fruits,Kiwi
Fruits,Watermelon
Vegetables,Cabbage
Vegetables,Tomato
Vegetables,Potato
Vegetables,Spinach
Vegetables,Broccoli
Vegetables,Onion
Vegetables,Cucumber
Vegetables,Lettuce
Vegetables,Cauliflower
Vegetables,Radish
Countries,USA
Countries,UK
Countries,Canada
Countries,France
Countries,Germany
Countries,China
Countries,India
Countries,Japan
Countries,Australia
Countries,Italy
Weather,Sunny
Weather,Cloudy
Weather,Hail
Weather,Stormy
Weather,Windy
Weather,Thunderstorms
Weather,Foggy
Weather,Drizzle
Weather,Blizzard
Weather,Tornado
Water Bodies,Ocean
Water Bodies,Sea
Water Bodies,Lake
Water Bodies,River
Water Bodies,Pond
Water Bodies,Stream
Water Bodies,Canal
Water Bodies,Bay
Water Bodies,Lagoon
Water Bodies,Waterfall
Languages,English
Languages,Spanish
Languages,Mandarin
Languages,Hindi
Languages,French
Languages,Arebic
Languages,Bengali
Languages,Urdu
Languages,German
Languages,Japanese
Sports,Soccer
Sports,Basketball
Sports,Cricket
Sports,Tennis
Sports,Baseball
Sports,Table Tennis
Sports,Rugby
Sports,Golf
Sports,Ice Hockey
Sports,Swimming
Body Parts,Head
Body Parts,Eyes
Body Parts,Ears
Body Parts,Nose
Body Parts,Mouth
Body Parts,Teeth
Body Parts,Tongue
Body Parts,Neck
Body Parts,Leg
Body Parts,Hand
Flowers,Rose
Flowers,Tulip
Flowers,Daisy
Flowers,Sunflower
Flowers,Orchid
Flowers,Lily
Flowers,Jasmine
Flowers,Lavender
Flowers,Magnolia
Flowers,Iris
Foods,Pizza
Foods,Sushi
Foods,burger
Foods,Tacos
Foods,Pasta
Foods,Ramen
Foods,Donuts
Foods,Sandwich
Foods,Burrito
Foods,Curry
Shapes,Circle
Shapes,Square
Shapes,Rectangle
Shapes,Triangle
Shapes,Oval
Shapes,Ellipse
Shapes,Pentagon
Shapes,Hexagon
Shapes,Parallelogram
Shapes,Rhombus
Emotions,Happiness
Emotions,Sadness
Emotions,Anger
Emotions,Fear
Emotions,Surprise
Emotions,Disgust
Emotions,Excitement
Emotions,Anxiety
Emotions,Joy
Emotions,Embarrassment
Stationery,Pen
Stationery,Pencil
Stationery,Eraser
Stationery,Notebook
Stationery,Ruler
Stationery,Marker
Stationery,Highlighter
Stationery,Sharpener
Stationery,Paper Clips
Stationery,Stapler
Beverages,Coffee
Beverages,Tea
Beverages,Juice
Beverages,Soda
Beverages,Milk
Beverages,Lemonade
Beverages,Iced Tea
Beverages,Hot Chocolate
Beverages,Wine
Beverages,Beer
Zodiac Sign,Aries
Zodiac Sign,Taurus
Zodiac Sign,Gemini
Zodiac Sign,Cancer
Zodiac Sign,Leo
Zodiac Sign,Virgo
Zodiac Sign,Libra
Zodiac Sign,Scorpio
Zodiac Sign,Sagittarius
Zodiac Sign,Capricorn
Family,Mother
Family,Father
Family,Sister
Family,Brother
Family,Son
Family,Daughter
Family,Uncle
Family,Niece
Family,Nephew
Family,Cousin
City,New York
City,Paris
City,Tokyo
City,London
City,Sydney
City,Cairo
City,Berlin
City,Rome
City,Los Angeles
City,Moscow
Music Instrument,Guitar
Music Instrument,Piano
Music Instrument,Violin
Music Instrument,Drums
Music Instrument,Saxophone
Music Instrument,Trumpet
Music Instrument,Flute
Music Instrument,Bass
Music Instrument,Cello
Music Instrument,Harmonica
Occupation,Doctor
Occupation,Teacher
Occupation,Engineer
Occupation,Chef
Occupation,Pilot
Occupation,Lawyer
Occupation,Artist
Occupation,Farmer
Occupation,Nurse
Occupation,Mechanic
Vehicles,Car
Vehicles,Bicycle
Vehicles,Aiplane
Vehicles,Train
Vehicles,Bus
Vehicles,Boat
Vehicles,Motorcycle
Vehicles,Helicopter
